category_en,n_orders,n_reviews,neg_rate,return_kw_rate,avg_delivery_days
agro_industry_and_commerce,177,177,12.43,3.39,11.43
air_conditioning,245,241,13.47,1.63,11.88
art,191,189,13.09,1.57,11.39
arts_and_craftmanship,22,22,13.64,9.09,5.71
audio,344,341,21.22,3.2,13.51
auto,3792,3774,12.76,1.48,12.34
baby,2763,2741,13.64,1.7,12.73
bed_bath_table,9167,9072,15.57,1.49,13.03
books_general_interest,492,488,6.1,0.41,11.54
books_imported,49,49,8.16,0.0,7.8
books_technical,255,254,9.41,0.78,10.64
cds_dvds_musicals,12,12,0.0,0.0,10.92
christmas_supplies,125,123,11.2,1.6,15.37
cine_photo,63,63,11.11,1.59,10.47
computers,176,173,10.8,1.7,13.94
computers_accessories,6500,6469,14.35,1.88,13.19
consoles_games,1014,1005,10.85,1.08,13.78
construction_tools_construction,728,723,13.05,1.79,10.86
construction_tools_lights,231,228,8.66,0.87,9.76
construction_tools_safety,154,153,15.58,2.6,11.7
cool_stuff,3530,3502,10.93,1.27,12.4
costruction_tools_garden,183,183,11.48,1.09,12.04
costruction_tools_tools,97,94,8.25,5.15,12.21
diapers_and_hygiene,25,25,12.0,0.0,10.49
drinks,284,284,9.51,0.35,10.37
dvds_blu_ray,56,56,14.29,0.0,12.98
electronics,2507,2488,12.96,1.52,12.94
fashio_female_clothing,36,36,16.67,8.33,13.0
fashion_bags_accessories,1810,1802,10.11,1.1,11.23
fashion_childrens_clothes,7,7,0.0,0.0,8.82
fashion_male_clothing,106,105,22.64,3.77,12.86
fashion_shoes,233,229,10.3,0.86,15.74
fashion_sport,24,24,4.17,0.0,10.29
fashion_underwear_beach,117,116,16.24,0.85,14.0
fixed_telephony,212,209,16.51,2.36,12.53
flowers,29,28,6.9,0.0,11.49
food,435,431,10.11,0.69,9.82
food_drink,218,218,4.13,0.0,10.88
furniture_bedroom,89,89,11.24,1.12,13.76
furniture_decor,6213,6167,14.87,1.32,13.11
furniture_living_room,409,404,13.2,1.22,13.95
furniture_mattress_and_upholstery,37,37,18.92,2.7,14.43
garden_tools,3414,3395,11.8,1.14,13.68
health_beauty,8608,8562,11.22,1.2,12.1
home_appliances,747,744,10.71,1.07,11.31
home_appliances_2,226,225,12.39,3.98,13.88
home_comfort_2,22,21,18.18,0.0,15.08
home_confort,370,368,17.57,2.16,13.56
home_construction,466,464,15.24,1.07,13.51
housewares,5688,5655,11.5,1.64,11.11
industry_commerce_and_business,228,226,10.09,1.32,10.93
kitchen_dining_laundry_garden_furniture,239,237,10.88,1.67,11.85
la_cuisine,12,11,8.33,0.0,7.68
luggage_accessories,1008,1004,7.84,0.89,10.89
market_place,268,266,11.57,1.49,12.37
music,37,37,8.11,2.7,11.56
musical_instruments,607,601,11.2,1.81,13.11
office_furniture,1246,1236,21.67,3.37,20.7
party_supplies,38,38,15.79,0.0,9.0
pc_gamer,6,6,16.67,0.0,10.21
perfumery,3073,3063,11.58,0.72,11.93
pet_shop,1682,1674,10.4,1.66,11.4
portateis_cozinha_e_preparadores_de_alimentos,13,13,23.08,7.69,8.44
security_and_services,2,2,50.0,0.0,15.14
signaling_and_security,138,137,11.59,2.9,10.87
small_appliances,606,601,11.22,1.49,11.01
small_appliances_home_oven_and_coffee,72,72,6.94,2.78,9.93
sports_leisure,7490,7446,11.19,1.19,12.26
stationery,2247,2234,9.7,1.34,12.81
tablets_printing_image,77,75,11.69,1.3,13.05
telephony,4076,4052,13.94,1.84,12.97
toys,3778,3748,11.22,1.48,11.75
watches_gifts,5470,5430,13.46,2.05,12.82
