category_en,n,avg_freight
computers,176.0,49.58323863636363
home_appliances_2,226.0,44.8488053097345
furniture_bedroom,89.0,42.80786516853932
furniture_mattress_and_upholstery,37.0,42.741621621621626
kitchen_dining_laundry_garden_furniture,239.0,42.49368200836821
office_furniture,1246.0,40.733242375601925
small_appliances_home_oven_and_coffee,72.0,36.48416666666667
furniture_living_room,409.0,35.807726161369196
industry_commerce_and_business,228.0,28.670482456140352
luggage_accessories,1008.0,28.249593253968253
agro_industry_and_commerce,177.0,28.055875706214692
musical_instruments,607.0,27.64724876441516
construction_tools_lights,231.0,27.146060606060605
signaling_and_security,138.0,26.111449275362315
la_cuisine,12.0,24.6375
small_appliances,606.0,24.041254125412543
home_construction,466.0,23.87791845493562
garden_tools,3414.0,23.701265377855886
costruction_tools_garden,183.0,23.06639344262295
construction_tools_construction,728.0,22.721195054945053
baby,2763.0,22.657582338038363
air_conditioning,245.0,22.382408163265303
cool_stuff,3530.0,22.133495750708214
christmas_supplies,125.0,22.038399999999996
auto,3792.0,21.87029799578059
portateis_cozinha_e_preparadores_de_alimentos,13.0,21.78923076923077
housewares,5688.0,21.551617440225037
furniture_decor,6213.0,21.346413970706585
construction_tools_safety,154.0,21.09103896103896
pet_shop,1682.0,20.827241379310344
security_and_services,2.0,20.61
home_confort,370.0,20.064864864864866
dvds_blu_ray,56.0,19.85
costruction_tools_tools,97.0,19.77639175257732
party_supplies,38.0,19.76
sports_leisure,7490.0,19.619472630173565
art,191.0,19.2813612565445
home_appliances,747.0,19.230080321285143
health_beauty,8608.0,19.205381040892195
fashion_sport,24.0,19.03291666666667
toys,3778.0,19.010841715193223
fashion_shoes,233.0,18.968969957081548
computers_accessories,6500.0,18.96219076923077
stationery,2247.0,18.841081441922565
bed_bath_table,9167.0,18.65397621904658
music,37.0,18.25135135135135
cine_photo,63.0,17.857619047619046
consoles_games,1014.0,17.68355029585799
market_place,268.0,17.623320895522394
fixed_telephony,212.0,17.175283018867923
fashion_male_clothing,106.0,16.924339622641508
watches_gifts,5470.0,16.91483180987203
food_drink,218.0,16.89197247706422
electronics,2507.0,16.795205424810533
books_general_interest,492.0,16.63042682926829
perfumery,3073.0,16.109248291571756
cds_dvds_musicals,12.0,16.064166666666665
books_technical,255.0,15.996039215686274
arts_and_craftmanship,22.0,15.89045454545455
audio,344.0,15.695174418604653
telephony,4076.0,15.694202649656527
diapers_and_hygiene,25.0,15.594399999999998
pc_gamer,6.0,15.57
fashion_bags_accessories,1810.0,15.504342541436465
tablets_printing_image,77.0,15.051948051948052
drinks,284.0,14.801056338028172
flowers,29.0,14.720689655172414
fashion_underwear_beach,117.0,14.58794871794872
food,435.0,14.380758620689656
home_comfort_2,22.0,14.241818181818182
fashio_female_clothing,36.0,13.703611111111114
books_imported,49.0,12.482448979591839
fashion_childrens_clothes,7.0,11.244285714285713
