category_en,main_seller_state,n_reviews
agro_industry_and_commerce,SP,87
air_conditioning,SP,128
art,SP,154
arts_and_craftmanship,SP,19
audio,SP,324
auto,SP,2994
baby,SP,1927
bed_bath_table,SP,8018
books_general_interest,SP,270
books_imported,SP,48
books_technical,SP,235
cds_dvds_musicals,SP,12
christmas_supplies,SP,87
cine_photo,SP,42
computers,BA,142
computers_accessories,SP,2742
consoles_games,SP,587
construction_tools_construction,SP,497
construction_tools_lights,SP,212
construction_tools_safety,SP,108
cool_stuff,SP,2578
costruction_tools_garden,SP,140
costruction_tools_tools,SP,43
diapers_and_hygiene,SP,24
drinks,SP,247
dvds_blu_ray,GO,38
electronics,SP,1712
fashio_female_clothing,SP,32
fashion_bags_accessories,SP,1239
fashion_childrens_clothes,SP,4
fashion_male_clothing,SP,57
fashion_shoes,SP,148
fashion_sport,SP,21
fashion_underwear_beach,SP,114
fixed_telephony,SP,175
flowers,SP,27
food,SP,381
food_drink,SP,120
furniture_bedroom,SP,59
furniture_decor,SP,4477
furniture_living_room,SP,154
furniture_mattress_and_upholstery,SP,23
garden_tools,SP,2336
health_beauty,SP,5618
home_appliances,SP,704
home_appliances_2,SP,94
home_comfort_2,SP,21
home_confort,SP,341
home_construction,SP,395
housewares,SP,3950
industry_commerce_and_business,SP,170
kitchen_dining_laundry_garden_furniture,SP,157
la_cuisine,SC,10
luggage_accessories,SP,455
market_place,SP,204
music,SP,24
musical_instruments,SP,362
office_furniture,SP,1185
party_supplies,SP,25
pc_gamer,SP,6
perfumery,SP,2028
pet_shop,SP,981
portateis_cozinha_e_preparadores_de_alimentos,SP,13
security_and_services,SP,2
signaling_and_security,SP,114
small_appliances,SP,385
small_appliances_home_oven_and_coffee,SP,50
sports_leisure,SP,4707
stationery,SP,1718
tablets_printing_image,SP,75
telephony,SP,3521
toys,SP,2578
watches_gifts,SP,4441
