category_en,n,median_days,avg_days
books_imported,57,1.08,2.79
food,496,1.27,1.91
luggage_accessories,1071,1.34,2.0
cine_photo,68,1.75,2.19
home_comfort_2,30,1.76,2.38
construction_tools_construction,916,1.8,2.49
fashion_bags_accessories,1982,1.87,2.59
small_appliances,656,1.91,2.67
furniture_mattress_and_upholstery,37,1.95,2.79
toys,4024,1.98,2.82
sports_leisure,8416,1.99,2.8
auto,4121,2.01,2.9
perfumery,3340,2.05,2.94
costruction_tools_tools,103,2.06,2.65
home_appliances,753,2.06,3.04
electronics,2725,2.07,2.75
party_supplies,42,2.08,2.24
industry_commerce_and_business,264,2.08,2.73
watches_gifts,5849,2.09,2.89
baby,2977,2.09,3.32
housewares,6782,2.1,3.1
cool_stuff,3715,2.1,2.91
health_beauty,9449,2.11,3.1
small_appliances_home_oven_and_coffee,73,2.13,2.69
home_confort,428,2.18,2.82
dvds_blu_ray,61,2.19,2.88
bed_bath_table,10933,2.19,3.17
books_general_interest,537,2.2,3.19
pet_shop,1922,2.23,3.22
agro_industry_and_commerce,206,2.25,3.33
construction_tools_safety,183,2.26,3.54
books_technical,261,2.31,2.96
christmas_supplies,150,2.33,3.31
audio,362,2.34,2.97
drinks,357,2.34,3.26
music,38,2.37,3.52
stationery,2459,2.42,3.11
computers_accessories,7631,2.43,3.65
food_drink,269,2.45,2.89
costruction_tools_garden,232,2.45,3.18
kitchen_dining_laundry_garden_furniture,274,2.47,3.82
air_conditioning,289,2.5,4.21
musical_instruments,650,2.57,3.41
signaling_and_security,197,2.69,3.09
construction_tools_lights,301,2.71,3.27
consoles_games,1087,2.72,3.97
garden_tools,4261,2.74,3.21
furniture_living_room,494,2.84,3.83
furniture_decor,8143,2.84,3.74
fashion_underwear_beach,127,2.85,4.23
market_place,305,2.88,3.94
computers,199,2.9,3.41
fixed_telephony,255,2.93,3.94
telephony,4425,2.93,3.54
flowers,33,3.1,3.21
tablets_printing_image,83,3.11,3.5
fashio_female_clothing,45,3.26,4.88
home_construction,595,3.39,4.48
art,197,3.43,3.99
furniture_bedroom,103,3.47,4.54
diapers_and_hygiene,37,3.52,4.11
fashion_male_clothing,125,3.59,4.9
home_appliances_2,230,3.71,4.63
fashion_shoes,257,4.54,5.56
office_furniture,1668,10.31,10.87
