seller_state,customer_state,n,avg_promise,avg_actual,avg_gap,ontime_rate
BA,BA,66,19.23,10.52,8.71,0.9091
BA,CE,14,25.32,15.36,9.96,0.8571
BA,DF,16,23.48,11.36,12.12,1.0
BA,ES,11,26.86,13.79,13.07,1.0
BA,MA,16,27.43,25.45,1.99,0.9375
BA,MG,51,25.9,10.56,15.34,1.0
BA,PB,10,30.26,18.76,11.5,0.9
BA,PE,32,26.7,16.89,9.81,0.9375
BA,PR,10,31.62,16.42,15.21,0.9
BA,RJ,83,26.36,13.39,12.97,0.9398
BA,RS,22,29.33,18.3,11.03,0.9545
BA,SC,13,27.55,16.6,10.95,0.9231
BA,SP,137,23.67,11.42,12.24,0.9489
CE,RJ,10,34.9,17.39,17.51,0.9
CE,SP,23,29.41,14.91,14.5,0.9565
DF,BA,35,28.9,18.21,10.69,0.9429
DF,CE,13,26.82,24.27,2.56,0.6923
DF,DF,49,12.73,5.12,7.6,0.9388
DF,ES,19,25.63,18.56,7.07,0.7368
DF,GO,30,19.83,9.19,10.64,0.9667
DF,MG,102,26.85,9.36,17.49,0.9902
DF,MT,10,26.57,14.88,11.69,1.0
DF,PA,11,35.99,20.13,15.86,1.0
DF,PE,10,31.61,14.43,17.18,1.0
DF,PR,27,24.59,12.42,12.17,1.0
DF,RJ,96,28.94,13.98,14.96,0.9271
DF,RS,22,33.07,17.74,15.33,0.8636
DF,SC,21,28.04,17.96,10.07,0.8095
DF,SP,308,23.37,10.83,12.54,0.9708
ES,BA,23,27.66,13.09,14.57,0.9565
ES,MG,43,24.24,10.72,13.52,1.0
ES,PR,15,27.93,11.47,16.46,1.0
ES,RJ,59,23.49,12.69,10.79,0.9153
ES,RS,18,29.22,17.87,11.35,0.8889
ES,SC,12,29.44,18.14,11.3,0.9167
ES,SP,100,23.61,12.1,11.51,0.9
GO,CE,12,29.21,18.51,10.69,1.0
GO,DF,28,22.48,9.35,13.13,0.9286
GO,GO,31,13.97,5.17,8.8,0.9677
GO,MG,83,25.82,10.44,15.38,0.988
GO,PA,10,36.67,21.56,15.11,1.0
GO,PE,10,29.28,20.39,8.89,0.8
GO,RJ,56,29.58,14.67,14.91,0.9464
GO,RS,11,32.0,17.78,14.21,0.9091
GO,SC,10,24.8,18.28,6.52,0.9
GO,SP,126,24.2,10.84,13.36,0.9603
MA,BA,10,24.26,21.87,2.39,0.6
MA,DF,27,27.27,16.2,11.07,0.8148
MA,ES,13,30.21,28.53,1.67,0.4615
MA,GO,16,28.85,21.51,7.35,0.625
MA,MA,14,15.83,9.82,6.0,0.5714
MA,MG,31,30.08,17.49,12.59,0.8387
MA,PE,21,26.73,15.7,11.03,0.8571
MA,RJ,41,35.23,16.7,18.53,0.9512
MA,RS,17,35.36,19.01,16.35,0.8824
MA,SC,19,29.46,16.93,12.53,0.7895
MA,SP,123,25.3,16.21,9.09,0.748
MG,AC,10,42.44,22.45,19.99,1.0
MG,AL,35,33.02,22.0,11.02,0.8286
MG,AM,13,48.03,27.04,20.99,0.9231
MG,BA,366,28.41,18.44,9.97,0.8934
MG,CE,73,32.26,20.76,11.49,0.8767
MG,DF,186,23.82,11.91,11.91,0.9677
MG,ES,171,27.98,16.33,11.65,0.9532
MG,GO,150,26.71,14.19,12.52,0.9733
MG,MA,61,30.46,20.18,10.28,0.8361
MG,MG,1525,20.49,8.7,11.79,0.9685
MG,MS,62,26.8,16.22,10.59,0.9355
MG,MT,50,33.69,21.44,12.25,0.92
MG,PA,83,37.72,27.35,10.38,0.8675
MG,PB,48,33.82,19.51,14.31,0.875
MG,PE,110,31.05,16.61,14.45,0.9182
MG,PI,32,29.79,16.0,13.79,0.9688
MG,PR,363,28.04,12.77,15.26,0.9807
MG,RJ,1134,26.81,14.2,12.61,0.9065
MG,RN,29,34.12,16.0,18.13,1.0
MG,RO,14,37.54,17.51,20.03,1.0
MG,RS,278,33.22,17.22,16.0,0.9496
MG,SC,251,29.75,17.21,12.54,0.9124
MG,SE,36,33.78,25.34,8.44,0.8889
MG,SP,2546,23.78,10.9,12.88,0.9568
MG,TO,16,30.69,16.36,14.33,0.875
MS,SP,18,31.14,9.56,21.58,0.9444
MT,GO,10,27.97,12.08,15.89,1.0
MT,MG,20,29.25,13.21,16.04,1.0
MT,RJ,13,29.62,14.0,15.63,0.9231
MT,SP,30,28.44,12.86,15.58,0.9667
PE,BA,26,30.03,11.74,18.29,1.0
PE,CE,17,27.28,10.91,16.37,0.9412
PE,DF,15,24.56,11.59,12.97,0.9333
PE,ES,17,31.24,13.55,17.69,1.0
PE,GO,12,28.23,14.0,14.24,1.0
PE,MG,62,29.75,11.72,18.03,1.0
PE,PE,23,17.0,6.79,10.21,0.9565
PE,RJ,42,33.88,14.22,19.66,0.9286
PE,RS,13,32.26,19.62,12.64,0.8462
PE,SP,104,24.27,11.89,12.38,0.9712
