seller_state,customer_state,n,avg_freight
SC,PB,18.0,77.05
SC,CE,21.0,70.07
RS,PE,17.0,60.86
SC,PA,19.0,60.48
PR,PI,25.0,60.14
CE,RJ,10.0,59.75
SC,PI,19.0,54.93
RS,BA,40.0,54.8
MA,RS,17.0,54.44
SC,RN,14.0,54.18
MG,AL,35.0,53.92
SC,MA,19.0,53.83
PE,RS,13.0,53.81
PR,PA,52.0,51.92
CE,SP,23.0,51.49
SC,PE,38.0,50.7
MG,AC,10.0,48.24
SC,MT,26.0,47.86
SC,BA,77.0,47.0
RS,PI,11.0,46.2
BA,RS,22.0,46.09
PR,PE,85.0,45.75
ES,SC,12.0,45.72
PR,BA,143.0,45.26
PR,RO,18.0,44.93
MG,PA,82.0,44.67
RS,MA,14.0,44.6
PR,PB,40.0,44.54
BA,SC,13.0,44.27
RS,PA,21.0,44.06
MG,MA,58.0,44.02
SC,GO,55.0,43.83
RS,AL,10.0,42.87
MG,RN,27.0,42.49
MG,PB,47.0,42.43
PR,CE,64.0,42.36
RJ,RO,13.0,42.04
SP,RO,165.0,41.59
SP,RR,31.0,41.48
MG,PI,31.0,41.45
SP,PB,330.0,41.38
SP,AC,56.0,41.17
MG,RO,14.0,40.89
SC,TO,11.0,40.69
MG,MT,50.0,40.46
RJ,PA,37.0,40.31
ES,PR,15.0,40.19
GO,CE,12.0,40.08
MG,TO,16.0,40.07
RS,CE,12.0,40.04
MG,SE,35.0,39.54
PR,AL,36.0,39.52
RS,MT,22.0,39.1
PR,MT,59.0,39.08
SP,SE,208.0,38.99
MG,CE,73.0,38.97
SC,AL,11.0,38.94
PR,MA,41.0,38.86
SP,MA,487.0,38.54
ES,RS,18.0,38.44
PR,SE,20.0,38.36
PR,RN,20.0,38.32
SP,RN,328.0,38.29
SP,TO,196.0,38.16
MA,SC,19.0,38.11
PE,GO,12.0,38.07
PR,GO,85.0,38.03
BA,PR,10.0,38.02
RJ,RN,22.0,37.65
SP,PI,324.0,37.58
RJ,PB,24.0,37.53
BA,PB,10.0,37.22
RJ,PE,89.0,36.52
RJ,TO,12.0,36.46
PR,TO,15.0,36.36
MT,SP,30.0,36.03
MG,PE,110.0,35.97
SP,AL,252.0,35.18
BA,MG,51.0,34.99
MT,RJ,13.0,34.91
ES,BA,22.0,34.9
RJ,CE,53.0,34.77
RS,GO,22.0,34.66
BA,SP,137.0,34.6
RJ,MA,27.0,33.97
MA,MG,31.0,33.6
SC,ES,50.0,33.27
SP,AP,49.0,33.2
MG,AM,12.0,33.19
MG,RS,270.0,33.08
DF,RS,22.0,32.8
SC,MS,31.0,32.66
RJ,PI,21.0,32.58
MA,SP,123.0,32.57
SC,SE,15.0,32.26
BA,RJ,83.0,31.87
MT,MG,20.0,31.79
SP,PA,668.0,31.75
PR,AM,11.0,31.56
ES,MG,43.0,31.54
BA,CE,14.0,31.48
SP,AM,99.0,31.47
BA,MA,16.0,31.4
SC,DF,69.0,31.39
SP,CE,958.0,31.15
PR,ES,110.0,31.0
PE,SP,104.0,30.98
RS,DF,46.0,30.87
RS,MG,181.0,30.85
SP,PE,1120.0,30.82
RS,ES,24.0,30.52
ES,SP,98.0,30.45
MA,RJ,41.0,29.8
MA,GO,16.0,29.48
MG,MS,61.0,29.45
PE,MG,62.0,29.43
GO,PA,10.0,29.43
DF,CE,13.0,29.35
PR,DF,149.0,29.21
SC,MG,426.0,29.05
RS,RJ,245.0,28.97
MG,GO,146.0,28.87
RJ,BA,133.0,28.78
MG,SC,247.0,28.51
MA,ES,13.0,28.5
GO,SC,10.0,27.92
GO,PE,10.0,27.88
RJ,AL,12.0,27.64
GO,RS,11.0,27.46
RS,MS,16.0,27.08
ES,RJ,57.0,27.02
BA,PE,32.0,26.87
RJ,MT,29.0,26.77
DF,PA,11.0,26.77
MG,BA,361.0,26.66
SC,RJ,466.0,26.57
RJ,MS,32.0,26.53
MG,PR,355.0,26.25
MG,ES,170.0,26.08
DF,SC,20.0,25.85
DF,BA,34.0,25.82
BA,DF,16.0,25.81
SP,MT,643.0,25.56
PE,DF,15.0,25.55
GO,SP,121.0,25.54
MT,GO,10.0,25.49
MG,RJ,1107.0,25.21
GO,RJ,55.0,24.95
DF,PR,27.0,24.85
PE,RJ,42.0,24.69
PR,MS,55.0,24.46
PE,CE,17.0,24.44
RJ,SE,18.0,24.16
PR,MG,811.0,24.0
RS,SP,653.0,23.91
SP,BA,2276.0,23.89
RJ,SC,113.0,23.73
MA,DF,27.0,23.62
MA,PE,21.0,23.39
PR,RJ,957.0,23.11
SC,RS,290.0,22.89
MA,BA,10.0,22.73
MG,DF,185.0,22.72
DF,ES,19.0,22.7
SP,MS,469.0,22.63
SC,SP,1299.0,22.53
BA,ES,11.0,22.19
RJ,RS,195.0,22.0
SC,PR,284.0,21.7
PE,BA,26.0,21.68
PE,ES,17.0,21.63
MS,SP,18.0,21.48
MG,SP,2481.0,21.45
PR,RS,572.0,21.13
SP,SC,2281.0,21.11
RS,PR,136.0,21.07
RJ,GO,105.0,20.98
PR,SC,387.0,20.95
GO,MG,82.0,20.89
SP,RS,3544.0,20.81
SP,GO,1386.0,20.77
RS,SC,113.0,20.58
SP,ES,1450.0,20.53
SP,RJ,8045.0,20.5
SP,MG,7327.0,20.4
SP,PR,3069.0,20.32
SP,DF,1359.0,20.2
RJ,PR,198.0,20.04
DF,RJ,94.0,20.04
PR,SP,2909.0,19.69
DF,SP,307.0,19.51
RJ,SP,1305.0,19.36
DF,MG,100.0,18.92
RJ,ES,94.0,18.91
RJ,MG,547.0,18.75
RJ,DF,93.0,17.99
SC,SC,254.0,17.69
MG,MG,1491.0,17.14
BA,BA,66.0,16.73
DF,GO,30.0,16.32
RS,RS,280.0,16.28
PR,PR,710.0,15.8
GO,DF,28.0,15.32
SP,SP,30310.0,13.29
PE,PE,23.0,12.66
RJ,RJ,929.0,12.61
GO,GO,29.0,11.83
MA,MA,14.0,10.99
DF,DF,49.0,8.95
RN,RN,21.0,8.34
