seller_state,customer_state,n,mean_days,median_days,p90_days,pct_in_10d
AM,AL,1,90.96,90.96,90.96,0.0
AM,MA,1,29.52,29.52,29.52,0.0
AM,MG,1,23.04,23.04,23.04,0.0
BA,AC,1,66.95,66.95,66.95,0.0
BA,AL,9,16.25,15.52,22.66,0.0
BA,AM,1,33.02,33.02,33.02,0.0
BA,AP,2,20.99,20.99,25.13,0.0
BA,BA,66,10.52,9.28,17.98,57.58
BA,CE,14,15.36,11.21,25.77,21.43
BA,DF,16,11.36,11.03,16.51,43.75
BA,ES,11,13.79,11.49,22.04,27.27
BA,GO,8,16.91,15.37,22.52,0.0
BA,MA,16,25.45,15.02,24.19,12.5
BA,MG,51,10.56,10.16,15.34,49.02
BA,MS,2,18.36,18.36,18.49,0.0
BA,MT,5,18.24,17.07,22.43,0.0
BA,PA,8,23.15,21.1,31.03,0.0
BA,PB,10,18.76,15.25,33.97,0.0
BA,PE,32,16.89,16.32,22.98,15.62
BA,PI,9,10.69,9.22,14.74,66.67
BA,PR,10,16.42,14.6,22.59,10.0
BA,RJ,83,13.39,11.13,19.95,37.35
BA,RN,9,18.51,12.94,34.27,11.11
BA,RO,2,28.25,28.25,29.16,0.0
BA,RR,1,10.93,10.93,10.93,0.0
BA,RS,22,18.3,14.42,27.05,4.55
BA,SC,13,16.6,16.0,23.62,0.0
BA,SE,9,17.17,16.99,20.7,0.0
BA,SP,137,11.42,9.89,17.76,51.09
BA,TO,2,15.7,15.7,17.59,0.0
CE,AL,2,19.44,19.44,24.0,0.0
CE,AM,1,138.88,138.88,138.88,0.0
CE,BA,3,19.6,19.64,25.58,0.0
CE,CE,9,6.32,6.38,8.7,88.89
CE,DF,1,9.96,9.96,9.96,100.0
CE,ES,3,18.77,21.92,22.93,0.0
CE,GO,1,13.51,13.51,13.51,0.0
CE,MA,2,21.27,21.27,22.22,0.0
CE,MG,3,15.12,13.16,25.88,33.33
CE,MS,1,12.95,12.95,12.95,0.0
CE,MT,2,23.3,23.3,28.54,0.0
CE,PA,3,29.97,19.96,46.67,0.0
CE,PE,7,16.72,13.16,28.17,14.29
CE,PI,3,27.79,22.09,37.25,0.0
CE,PR,4,15.67,16.25,20.76,25.0
CE,RJ,10,17.39,13.67,23.81,40.0
CE,RN,1,13.26,13.26,13.26,0.0
CE,RO,1,25.75,25.75,25.75,0.0
CE,SC,2,20.99,20.99,28.54,0.0
CE,SE,3,14.34,14.66,14.81,0.0
CE,SP,23,14.91,14.3,23.39,21.74
DF,AC,1,11.42,11.42,11.42,0.0
DF,AL,4,13.73,11.86,18.06,0.0
DF,BA,35,18.21,16.41,23.23,14.29
DF,CE,13,24.27,17.23,40.19,7.69
DF,DF,49,5.12,3.97,7.89,89.8
DF,ES,19,18.56,18.3,27.37,0.0
DF,GO,30,9.19,8.61,15.06,60.0
DF,MA,8,16.76,16.66,22.03,0.0
