seller_id,category_en,customer_state,n,avg_price,avg_freight,avg_total,median_days,neg_rate
0015a82c2db000af6aaaf3ae2ecb0532,small_appliances,MG,2,895.0,21.02,916.02,10.82,50.0
0015a82c2db000af6aaaf3ae2ecb0532,small_appliances,PR,1,895.0,21.02,916.02,10.75,0.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,BA,3,114.67,49.43,164.09,15.05,33.33
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,CE,1,99.99,49.41,149.4,8.92,0.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,MG,4,110.22,38.97,149.19,9.73,0.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,PR,2,106.0,58.47,164.46,11.31,0.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,RJ,5,108.58,35.71,144.29,9.8,0.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,RS,3,100.33,42.28,142.61,24.87,0.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,SC,3,108.0,52.51,160.51,15.12,0.0
001cca7ae9ae17fb1caed9dfb1094831,construction_tools_construction,SP,2,100.5,45.94,146.44,17.17,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,BA,11,102.18,40.65,142.83,12.05,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,CE,1,109.0,52.72,161.72,14.55,100.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,DF,1,112.0,42.01,154.01,18.29,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,ES,5,103.4,21.96,125.36,6.63,20.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,GO,1,112.0,21.58,133.58,9.09,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,MG,26,97.66,36.69,134.35,10.49,19.23
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,MT,4,105.95,32.2,138.15,15.9,50.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,PA,1,169.0,114.62,283.62,62.17,100.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,PE,3,95.67,59.61,155.28,15.43,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,PI,1,112.0,51.91,163.91,22.04,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,PR,9,97.17,39.29,136.46,10.28,11.11
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,RJ,32,107.17,28.93,136.1,10.33,21.88
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,RO,1,99.0,89.82,188.82,8.98,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,RS,10,107.19,44.17,151.36,16.69,0.0
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,SC,7,95.13,43.38,138.51,15.92,28.57
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,SP,56,106.97,34.52,141.49,9.67,8.93
001cca7ae9ae17fb1caed9dfb1094831,garden_tools,TO,2,104.95,46.53,151.48,17.48,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,BA,1,17.9,16.79,34.69,36.34,100.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,DF,2,19.9,15.1,35.0,27.83,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,ES,1,17.9,15.1,33.0,33.65,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,GO,2,17.4,16.66,34.06,25.72,50.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,MG,9,17.9,15.1,33.0,11.87,11.11
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,MT,1,39.9,22.01,61.91,17.89,100.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,PA,1,49.9,25.63,75.53,17.52,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,PR,4,34.4,15.95,50.35,11.2,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,RJ,2,73.9,15.38,89.28,22.45,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,RN,1,17.9,34.15,52.05,21.1,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,RS,3,17.9,15.1,33.0,20.99,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,SC,1,19.9,15.1,35.0,17.24,0.0
002100f778ceb8431b7a1020ff7ab48f,furniture_decor,SP,21,18.8,11.98,30.79,12.11,14.29
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,AL,1,69.9,38.04,107.94,29.93,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,BA,6,99.99,22.3,122.3,21.62,33.33
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,CE,1,169.99,33.64,203.63,16.28,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,DF,2,82.99,17.83,100.82,12.24,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,ES,4,125.72,19.75,145.47,13.01,25.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,GO,6,145.46,32.75,178.21,12.24,33.33
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,MG,19,93.66,18.62,112.28,10.97,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,MS,2,99.0,19.56,118.56,19.76,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,MT,2,110.0,21.82,131.82,15.09,50.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,PA,1,87.5,29.01,116.51,41.35,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,PE,2,82.99,28.98,111.97,21.19,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,PI,1,117.99,34.63,152.62,18.91,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,PR,7,124.55,20.24,144.79,15.25,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,RJ,21,117.62,20.58,138.21,14.24,28.57
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,RO,2,117.99,43.24,161.23,16.74,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,RS,12,113.79,19.48,133.28,23.36,41.67
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,SC,3,109.66,19.37,129.03,12.8,0.0
004c9cd9d87a3c30c522c48c4fc07416,bed_bath_table,SP,52,116.0,14.74,130.74,8.66,3.85
00720abe85ba0859807595bbf045a33b,housewares,DF,2,78.0,16.02,94.02,11.74,50.0
00720abe85ba0859807595bbf045a33b,housewares,MG,1,13.5,15.1,28.6,10.75,0.0
00720abe85ba0859807595bbf045a33b,housewares,PA,1,78.0,38.6,116.6,22.25,0.0
00720abe85ba0859807595bbf045a33b,housewares,PR,1,84.0,18.17,102.17,16.07,0.0
00720abe85ba0859807595bbf045a33b,housewares,RS,1,13.5,15.23,28.73,40.08,100.0
00720abe85ba0859807595bbf045a33b,housewares,SP,7,49.56,9.03,58.58,6.14,14.29
00ab3eff1b5192e5f1a63bcecfee11c8,health_beauty,SP,1,98.0,12.08,110.08,9.05,0.0
00d8b143d12632bad99c0ad66ad52825,fashion_bags_accessories,PB,1,86.0,51.1,137.1,7.23,0.0
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,BA,1,127.0,19.13,146.13,14.07,0.0
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,DF,2,180.0,58.18,238.18,11.43,0.0
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,ES,2,104.0,17.48,121.48,11.7,50.0
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,GO,2,132.5,17.68,150.18,12.01,0.0
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,MG,14,128.64,17.84,146.48,6.17,7.14
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,PR,6,101.67,12.66,114.33,7.74,33.33
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,RJ,13,159.0,17.36,176.36,14.08,23.08
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,RS,7,159.0,16.65,175.65,9.24,14.29
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,SC,2,110.0,20.37,130.37,14.06,0.0
00ee68308b45bc5e2660cd833c3f81cc,bed_bath_table,SP,62,123.45,12.43,135.88,4.17,6.45
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,GO,1,85.0,62.41,147.41,18.94,0.0
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,MG,1,75.0,62.35,137.35,9.49,0.0
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,RJ,3,90.0,41.95,131.95,25.74,66.67
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,SC,1,75.0,62.35,137.35,21.99,0.0
00ee68308b45bc5e2660cd833c3f81cc,furniture_mattress_and_upholstery,SP,16,84.69,38.49,123.17,6.26,6.25
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,AM,1,86.0,3.96,89.96,29.02,100.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,DF,2,85.02,25.88,110.9,20.54,50.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,GO,1,99.0,34.49,133.49,22.56,0.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,MG,12,93.96,18.75,112.71,18.79,16.67
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,PB,1,190.0,61.39,251.39,34.25,0.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,PR,8,93.48,11.96,105.44,6.34,0.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,RJ,15,91.92,17.32,109.23,16.45,40.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,RS,9,86.99,16.05,103.04,15.97,11.11
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,SC,8,90.21,17.01,107.21,15.59,0.0
00fc707aaaad2d31347cf883cd2dfe10,computers_accessories,SP,45,99.18,13.97,113.14,11.96,8.89
010543a62bd80aa422851e79a3bc7540,computers_accessories,RJ,1,708.0,18.71,726.71,6.0,0.0
010543a62bd80aa422851e79a3bc7540,computers_accessories,SP,1,708.0,13.24,721.24,12.17,0.0
010da0602d7774602cd1b3f5fb7b709e,kitchen_dining_laundry_garden_furniture,SP,1,169.9,46.05,215.95,26.11,100.0
011b0eaba87386a2ae96a7d32bb531d1,health_beauty,MG,1,49.99,14.59,64.58,25.18,0.0
01266d4c46afa519678d16a8b683d325,costruction_tools_tools,PR,1,9.88,13.47,23.35,5.24,0.0
01266d4c46afa519678d16a8b683d325,costruction_tools_tools,SP,2,40.18,16.88,57.06,6.26,0.0
013900e863eace745d3ec7614cab5b1a,baby,GO,1,55.9,21.19,77.09,17.08,100.0
013900e863eace745d3ec7614cab5b1a,baby,MS,1,54.0,16.82,70.82,9.18,0.0
013900e863eace745d3ec7614cab5b1a,baby,PE,2,62.45,34.36,96.81,22.71,0.0
013900e863eace745d3ec7614cab5b1a,baby,RJ,3,61.67,15.83,77.49,8.78,0.0
013900e863eace745d3ec7614cab5b1a,baby,SP,1,54.0,14.13,68.13,12.92,0.0
013900e863eace745d3ec7614cab5b1a,fashion_shoes,DF,1,87.5,20.66,108.16,8.47,0.0
