seller_id,seller_city,seller_state,n,median_days,avg_days
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,194,2.1,2.6
002100f778ceb8431b7a1020ff7ab48f,franca,SP,49,3.34,4.47
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,155,1.38,1.75
00720abe85ba0859807595bbf045a33b,guarulhos,SP,13,3.94,3.66
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,133,1.51,1.96
00fc707aaaad2d31347cf883cd2dfe10,maringa,PR,102,2.36,2.74
013900e863eace745d3ec7614cab5b1a,curitiba,PR,23,3.0,3.34
014c0679dd340a0e338872e7ec85666a,timoteo,MG,14,5.42,5.66
014d9a685fd57276679edd00e07089e5,maringa,PR,10,2.31,2.35
0176f73cc1195f367f7b32db1e5b3aa8,ibitinga,SP,36,1.79,2.15
01bcc9d254a0143f0ce9791b960b2a47,uruacu,GO,10,1.48,1.66
01cf7e3d21494c41fb86034f2e714fa1,francisco beltrao,PR,59,2.4,2.74
01fd077212124329bac32490e8ef80d9,ribeirao preto / sao paulo,SP,31,1.05,1.49
01fdefa7697d26ad920e9e0346d4bd1b,londrina,PR,128,1.52,1.8
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,230,1.8,2.15
0249d282d911d23cb8b869ab49c99f53,sao paulo,SP,11,2.74,4.5
02c988090b766852e088c69d7fb3b551,americana,SP,12,1.99,1.85
02d35243ea2e497335cd0f076b45675d,natal,RN,14,10.56,10.3
02dcd3e8e25bee036e32512bcf175493,contagem,MG,13,4.53,4.21
02ecc2a19303f05e59ce133fd923fff7,santo andre,SP,21,3.73,3.9
02f5837340d7eb4f653d676c7256523a,curitiba,PR,30,2.18,2.58
02f623a8eb246f3c5f7c2f96462654e6,botucatu,SP,44,0.86,1.17
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,13,1.97,1.8
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,92,4.74,6.34
0432ead42b6c8a0bdf68154add917fdf,maua,SP,80,1.24,1.64
048c2757535328e0d7dac690ad3c0aae,franca,SP,50,2.86,2.89
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,11,4.11,4.33
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,15,2.91,3.63
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,19,4.69,5.64
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,87,1.48,2.17
054694fa03fe82cec4b7551487331d74,itajobi,SP,20,5.71,10.41
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,64,1.86,2.09
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,11,2.98,3.67
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,59,1.5,1.9
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,62,2.12,2.66
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,57,3.11,5.17
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,57,1.26,2.69
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,54,5.01,5.77
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,60,1.96,2.23
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,64,2.44,3.3
0691148aee60ca47977c187804f935ae,londrina,PR,47,1.68,2.55
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,384,2.92,4.9
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,MG,17,1.02,1.37
06df0c10d34e459d9672bc77388742eb,maringa,PR,26,0.99,1.24
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,90,1.51,2.43
070d165398b553f3b4b851c216b8a358,sao paulo,SP,30,3.91,4.11
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,16,3.29,5.53
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,12,3.09,5.62
07bf9669d84d1f11be443a9dd938f698,sao paulo,SP,18,1.94,1.83
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,120,1.19,1.58
080199a181c46c657dc5aa235411be3b,osasco,SP,78,2.13,2.31
08084d990eb3f53af056ccbc1730c8a7,sao paulo,SP,11,3.96,3.8
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,11,2.13,2.06
08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,70,1.22,1.53
0885aaf116795758dfeb5f1032487bcd,ferraz de vasconcelos,SP,25,0.85,1.16
0887a9f087bcd5d9f6642b52f897fc6c,cananeia,SP,12,1.36,1.39
08d0949a9a17c027262db1f3c450c26c,cascavel,PR,11,4.97,4.59
08d2d642cf72b622b14dde1d2f5eb2f5,marilia,SP,16,2.74,3.08
093805f8f2aeb63881444571e1f48f30,osasco,SP,22,2.22,2.59
094ced053e257ae8cae57205592d6712,ribeirao preto,SP,19,0.99,2.04
099095b050cfe8eb1ddff5317587e96e,sao paulo,SP,16,2.42,2.35
09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,46,2.58,2.9
0a85ebe4e328db81ac9109781205e2f7,jundiai,SP,12,1.37,1.77
0ac4201fda2c68ebc0e47cb9423cf3c9,sao paulo,SP,13,2.05,2.15
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,105,4.21,4.23
0afccdb8a34ee5c79f7c06faf2b4d56e,uberlandia,MG,24,2.5,3.73
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,49,2.25,3.84
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,160,2.08,2.67
0bae85eb84b9fb3bd773911e89288d54,itajai,SP,133,1.12,1.34
0bb738e4d789e63e2267697c42d35a2d,sao roque,SP,29,2.26,2.99
0be8ff43f22e456b4e0371b2245e4d01,sao paulo,SP,155,1.97,2.52
0bf0150d5b9d60d9cd2906003332f085,sao paulo,SP,39,4.76,5.57
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,59,2.33,2.97
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,176,2.68,3.17
0cbcee27c791afa0cdcb08587a2013a8,tres coracoes,MG,37,1.65,2.24
0d33a55da925bbf1ff02af5f6059fc7f,sao paulo,SP,20,1.91,1.82
0d85bbda9889ce1f7e63778d24f346eb,uberlandia,MG,51,2.95,3.26
0db783cfcd3b73998abc6e10e59a102f,santos,SP,130,2.22,2.96
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,156,2.47,2.97
0df3984f9dfb3d49ac6366acbd3bbb85,betim,MG,85,2.37,2.69
0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,MG,225,1.57,1.99
0eaa7e33d73809f1f925f7d07c506cbd,santo andre,SP,15,0.91,1.29
0ebd97a106433a45a4aebe57c1799778,contagem,MG,30,2.17,2.56
0ed6ce5d87fd9c69eaacaeb778d67235,americana,SP,42,4.37,5.01
0ef83d7d83ed97cd2a0049ac8be5f88a,curitiba,PR,47,1.26,1.68
0ff83046c3fa22efee8ecf291888b191,caxias do sul,RS,10,3.56,3.89
0ffa40d54288e4f3499b8780dd0f144f,presidente prudente,SP,33,2.08,2.21
10076e5788b8ee532724bcd460baf762,batatais,SP,22,1.07,1.55
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,897,3.44,4.27
1127b7f2594683f2510f1c2c834a486b,campinas,SP,109,2.05,2.53
11305281b50fff20ae8bb473f8e11876,uba,MG,35,1.79,2.42
113e3a788b935f48aad63e1c41dac1bd,aparecida,SP,39,2.08,2.65
116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,59,1.41,1.82
11bfa66332777660bd0640ee84d47006,ribeirao preto,SP,76,2.01,2.62
128639473a139ac0f3e5f5ade55873a5,maringa,PR,524,2.28,2.92
128f9bfbe4c7d5185033914b1de3d39a,atibaia,SP,13,3.01,3.87
12b9676b00f60f3b700e83af21824c0e,montenegro,RS,133,4.99,4.62
13074f016982ff2bd6c58ced8682f000,bento goncalves,RS,13,2.12,4.29
1336efc61c316ddf92c899eb817f7cae,assis,SP,68,2.93,3.34
1354d51653f645349064725ed204e85e,sao paulo,SP,18,3.11,4.05
138dbe45fc62f1e244378131a6801526,sao paulo,SP,45,1.69,1.85
13d058e4eeac2ce8217660b2f8a05812,osasco,SP,22,2.73,3.42
141440cad9341e553f8401c574a2aa38,pitanga,PR,10,1.62,1.42
1430239a858e7682bbc43b20758af153,sao paulo,SP,17,1.17,1.52
1464afc72f696af775557a821c2e253f,nova friburgo,RJ,29,1.14,1.37
14a08204d03bb6b6bde8029f801ae0eb,sao paulo,SP,27,1.77,3.0
14d7985702e72162bbf13b6beb74ab2b,santo andre,SP,36,2.08,2.46
1554a68530182680ad5c8b042c3ab563,monte siao,MG,243,2.01,2.48
157c3e4b42f81ac4a44e8b1ca2fe9876,sao paulo,SP,19,3.34,3.66
15aac934c58d886785ac1b17953ea898,muqui,ES,25,2.1,2.55
15cd6eefe58588619aaed41dfa6621b1,ouro preto,MG,15,4.24,3.63
16090f2ca825584b5a147ab24aa30c86,atibaia,SP,397,1.5,2.01
165b1235e9e9942cb5fae67103576fb0,ribeirao preto,SP,11,1.13,1.33
165fc07beebdcb6190fba8a06db2a449,maringa,PR,47,2.34,3.42
1660ad786c27fd935378b6192a90b417,sao bernardo do campo,SP,11,1.26,2.04
1690cada046eb7e92c12f98b1f8a8167,sao paulo,SP,10,1.02,2.02
17306570e772e7718c92a562d33f5f1d,bariri,SP,27,3.22,4.31
1771297ac436903d1dd6b0e9279aa505,guarulhos,SP,28,0.87,1.38
17908cf9b444ee34047cadd5c0f4a516,anapolis,GO,11,2.14,3.16
179d859f51292aac5c10806a356f7af9,ribeirao pires,SP,18,1.72,2.01
17a053fcb14bd219540cbde0df490be0,mogi guacu,SP,124,3.73,3.82
17ca9b9e9b9ef8fdb529001b49ebb50f,betim,MG,114,1.19,1.93
17e34d8224d27a541263c4c64b11a56b,riberao preto,SP,246,1.93,2.97
17f51e7198701186712e53a39c564617,sao paulo,SP,55,12.43,12.49
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,392,1.71,2.03
1838dd9b8977065acf51d95e0053ea7a,belo horizonte,MG,62,1.38,1.66
18a349e75d307f4b4cc646a691ed4216,sao paulo,SP,108,2.04,3.79
18e694e0e48ed6f7aa3f24aade5fd697,varzea paulista,SP,31,1.28,1.5
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,377,1.81,2.36
1987cd4be10fe09ee50454f9c354d1c6,ouro fino,MG,14,2.71,5.15
198c7ea11960a9844b544d9bcdca860c,jacutinga,MG,25,1.71,2.32
1a3df491d1c4f1589fc2b934ada68bf2,joinville,SC,159,3.71,3.87
1a932caad4f9d804097d7f8e615baed1,sao paulo,SP,20,0.89,1.46
1b1ae47a313a825a7ccceb8e2e30fa9d,bocaiuva do sul,PR,10,1.62,2.83
1b4c3a6f53068f0b6944d2d005c9fc89,sao ludgero,SC,110,1.47,1.98
1b7e5006cb25dd23ce8686691013b121,sao paulo,SP,11,6.37,7.19
1b8356dabde1d35e17cef975c3f82730,sao paulo,SP,55,1.44,1.79
1b8b75e227c9a9c100d0c210fb6176ce,sao paulo,SP,15,8.75,9.59
1b938a7ec6ac5061a66a3766e0e75f90,penapolis,SP,29,1.45,1.89
1bb2bdb95f4841f1bba2c0d2cd83d3c9,sao paulo,SP,79,4.5,5.47
1c129092bf23f28a5930387c980c0dfc,sao paulo,SP,190,4.2,4.07
1c40343cc5d18c2d8248ac2f3366de34,limeira,SP,20,2.48,2.38
1c5e4e49b9079480255b49d50aac1aa9,santos,SP,12,2.84,3.24
1c68394e931a64f90ea236c5ea590300,sarandi,PR,137,4.07,5.15
1ca7077d890b907f89be8c954a02686a,santana de parnaiba,SP,108,5.92,5.63
1caf283236cd69af44cbc09a0a1e7d32,nova iguacu,RJ,33,2.09,2.45
1cbd32d00d01bb8087a5eb088612fd9c,sp / sp,SP,11,2.67,4.17
1ce3ae5a399804d1a87e706f8a813c3e,jaguaruna,SC,37,2.01,2.51
1d29dfba02015238dfbe2449a5eaa361,vicosa,MG,12,0.97,2.05
1d4587203296c8f4ad134dc286fa6db0,sao paulo,SP,39,1.14,1.74
1d503743d2526f03f0c2c89540ee008c,sao paulo,SP,12,1.97,1.86
1d8dbc4f32378d715c717c1c1fc57bae,arapongas,PR,90,3.89,4.22
1da366cade6d8276e7d8beea7af5d4bf,uba,MG,42,7.01,7.34
1da3aeb70d7989d1e6d9b0e887f97c23,sao paulo,SP,255,1.55,1.88
1dc2de47ee26a0a5b12dc14fd6dc0dea,ibitinga,SP,25,2.36,2.65
1dcfa3835714681d4ba4a93bc1e0fd41,birigui,SP,12,4.9,6.58
1dfe5347016252a7884b694d4f10f5c4,ibitinga,SP,19,2.2,2.54
1e8b33f18b4f7598d87f5cbee2282cc2,sao paulo,SP,119,1.24,1.68
1eade46fba20122dc4aefb379f8c636b,sao paulo,SP,58,1.27,2.05
1f1bb1f0859883505541bdd6606193e5,sao paulo,SP,27,3.72,3.75
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1384,3.93,3.99
1f9ab4708f3056ede07124aad39a2554,tupa,SP,75,2.64,3.2
1fdc574883ef3b33ad41562d93f3a74a,limeira,SP,18,1.22,1.87
1fe5540d7c1c37a595fefbacd5570d9e,paraiba do sul,RJ,20,2.14,2.45
2059c39f76271d4ca3f15b5ffaccc8b8,curitiba,PR,12,2.02,2.44
2089a6d640999f9b9141ac719b2af596,sao carlos,SP,40,7.47,9.33
20cb7c2fde3e5bf10f0bbe7394e1c6a9,andira-pr,PR,31,1.59,2.32
20d83f3ef0e6925fd74bfd59170babf7,sao paulo,SP,37,1.69,1.84
2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,SP,380,2.28,2.71
213b25e6f54661939f11710a6fddb871,salto,SP,138,8.84,8.46
2156f2671501a81034d7d07f217609d0,sp,SP,21,3.22,3.37
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,SP,376,1.49,2.01
218f991754f360af9c2daa5e0b8e990c,sao paulo,SP,14,3.29,3.37
2199e7fe213c16213bf5d6a7eadc9a5d,registro,SP,24,1.47,1.93
21e83881401b92b49fb09a16d3852291,uberlandia,MG,12,3.42,3.66
226b05fe067266c59c15dae208213d06,curitiba,PR,10,1.13,1.31
229c3efbfb0ea2058de4ccdfbc3d784a,belo horizonte,MG,118,1.22,1.74
232a6014e7b10cba61c6c2b2ea6bb4b0,cafelandia,SP,32,1.88,2.05
23613d49c3ac2bd302259e55c06c050c,porto ferreira,SP,66,4.85,5.42
236585a4ddb5fea9fa40233e2249ed91,caxias do sul,RS,11,4.73,6.16
238fac594e170b59c6d228f5a4f4f1d9,dois corregos,SP,28,1.62,1.94
23a0ffca143a15b9b5bbdb7d552f626a,sao pedro,SP,22,1.14,1.36
23c38debaffe4a25a30fdbd9b586a13f,votorantim,SP,40,2.24,2.95
23d7c96d4a1160db1c726b248601b25a,capivari,SP,50,1.17,3.6
240b9776d844d37535668549a396af32,niteroi,RJ,35,5.79,5.39
244c2f1bff6afe1f2eaf9bfe9b2aed38,mogi das cruzes,SP,23,2.7,3.33
2528513dd95219a6013d4d05176e391a,osasco,SP,153,1.96,2.65
257e61d3251fb5efb9daadddbc2cf7ca,apucarana,PR,12,1.45,1.63
259f7b5e6e482c230e5bfaa670b6bb8f,poa,SP,134,1.44,1.8
25c5c91f63607446a97b143d2d535d31,itauna,MG,148,4.51,5.19
25cf099de44674fde97473224f9d59ab,cotia,SP,50,1.29,1.77
25e47381a6c510ddeb36084e33b89f0c,praia grande,SP,16,3.23,3.38
25e6ffe976bd75618accfe16cefcbd0d,sao paulo,SP,106,1.58,2.11
2646baaf662d4d92ac48f047e35db92d,sao paulo,SP,15,1.26,1.62
26785a546900236d66f2e4197c211158,sao paulo,SP,15,1.86,2.21
26d6bbee02420494d471c9f6436929c0,curitiba,PR,12,1.02,1.54
26d8a1c7c75d513045798992ead43aa2,apucarana,PR,34,2.75,3.14
26e2c91ef821e1ff8985f408788fe35b,ibitinga,SP,12,2.23,2.93
270297ead4c65a6cd2593960d2af6b21,sao paulo,SP,17,2.97,3.14
